coordinate_velocity_c,positive_energy_J,scaling_factor,tidal_acceleration_g,t_stress_tensor,viable_operation,earth_proxima_days,energy_efficiency,velocity_category
87.0,1.1653073374749739e+62,1.0117763008604248,0.5413056350423094,1.5455368581699794e+41,True,17.800689655172416,8.581427129488713e-48,MEDIUM_VELOCITY
88.0,1.1787063791271584e+62,1.0114982899543206,0.5556503150048702,1.5633078891003074e+41,True,17.59840909090909,8.483877051217013e-48,MEDIUM_VELOCITY
89.0,1.191940608930817e+62,1.011227757852179,0.5701760784627014,1.5808603315275269e+41,True,17.40067415730337,8.38967975843201e-48,MEDIUM_VELOCITY
90.0,1.2050095943443897e+62,1.0109644602387495,0.5848822118546042,1.5981936117755768e+41,True,17.207333333333334,8.29868911163376e-48,MEDIUM_VELOCITY
91.0,1.2179130330854072e+62,1.0107081626582717,0.5997679943284283,1.6153073289298802e+41,True,17.01824175824176,8.210766884287657e-48,MEDIUM_VELOCITY
92.0,1.230650747063277e+62,1.0104586400111022,0.6148326981810099,1.6322012467904528e+41,True,16.83326086956522,8.125782252896015e-48,MEDIUM_VELOCITY
93.0,1.2432226764661445e+62,1.0102156760826482,0.6300755892801819,1.6488752860293585e+41,True,16.65225806451613,8.043611325064437e-48,MEDIUM_VELOCITY
94.0,1.2556288740045126e+62,1.0099790631020604,0.6454959274696026,1.6653295165560734e+41,True,16.475106382978723,7.96413670235817e-48,MEDIUM_VELOCITY
95.0,1.2678694993137158e+62,1.009748601328484,0.661092966957136,1.6815641500935355e+41,True,16.301684210526318,7.887247075044311e-48,MEDIUM_VELOCITY
96.0,1.2799448135166659e+62,1.0095240986627458,0.6768659566874637,1.6975795329667627e+41,True,16.131875,7.81283684608625e-48,MEDIUM_VELOCITY
97.0,1.291855173947755e+62,1.009305370282618,0.6928141406995935,1.7133761391052125e+41,True,15.965567010309279,7.740805781998917e-48,MEDIUM_VELOCITY
98.0,1.3036010290382658e+62,1.0090922382999148,0.7089367584698819,1.7289545632593448e+41,True,15.80265306122449,7.671058688391433e-48,MEDIUM_VELOCITY
99.0,1.315182913363154e+62,1.0088845314378379,0.7252330452411831,1.7443155144312157e+41,True,15.643030303030304,7.603505108219694e-48,MEDIUM_VELOCITY
100.0,1.32660144284864e+62,1.008682084727125,0.7417022323386822,1.759459809518346e+41,True,15.486600000000001,7.538059040948112e-48,HIGH_VELOCITY
110.0,1.4319870865670986e+62,1.0794403204418064,0.9157322833028267,1.899231860590963e+41,True,14.078727272727274,6.983303197218762e-48,HIGH_VELOCITY
120.0,1.5221600904657398e+62,1.06297054264282,1.10618798452812,2.018827521456909e+41,True,12.9055,6.569611214113669e-48,HIGH_VELOCITY
130.0,1.598492576528038e+62,1.0501474756436049,1.3122737596380472,2.1200666254178085e+41,True,11.912769230769232,6.255893925838696e-48,HIGH_VELOCITY
140.0,1.662492941913437e+62,1.0400379497065975,1.5331986874895545,2.2049497463409226e+41,True,11.061857142857143,6.015063130728577e-48,HIGH_VELOCITY
150.0,1.715658835546082e+62,1.0319796206601959,1.768186877543462,2.2754632028037007e+41,True,10.3244,5.828664646381792e-48,HIGH_VELOCITY
160.0,1.759395789236439e+62,1.0254928035715423,2.0164841292098283,2.3334711392670475e+41,False,9.679125,5.683769428787769e-48,HIGH_VELOCITY
170.0,1.7949783125626452e+62,1.020224285828062,2.2773620500501526,2.3806639265591175e+41,False,9.109764705882354,5.571097951441682e-48,HIGH_VELOCITY
180.0,1.8235369251846197e+62,1.0159102828274298,2.550120427910822,2.418540962947733e+41,False,8.603666666666667,5.483848372846946e-48,HIGH_VELOCITY
190.0,1.846060066237364e+62,1.0123513490413494,2.8340884013753893,2.4484132065519014e+41,False,8.150842105263159,5.416941833524399e-48,HIGH_VELOCITY
200.0,1.8634038253101008e+62,1.0093950134071676,3.128624804988848,2.471416081453743e+41,False,7.7433000000000005,5.3665232754021187e-48,HIGH_VELOCITY
